quarter,mcap_coverage,n,n_mcap
2018-03-31,0.840080971659919,494,415
2018-06-30,0.8326612903225806,496,413
2018-09-30,0.8346774193548387,496,414
2018-12-31,0.8430583501006036,497,419
2019-03-31,0.8450704225352113,497,420
2019-06-30,0.8467741935483871,496,420
2019-09-30,0.8591549295774648,497,427
2019-12-31,0.8657314629258517,499,432
2020-03-31,0.8697394789579158,499,434
2020-06-30,0.8782435129740519,501,440
2020-09-30,0.8782435129740519,501,440
2020-12-31,0.8842315369261478,501,443
2021-03-31,0.8882235528942116,501,445
2021-06-30,0.8942115768463074,501,448
2021-09-30,0.8982035928143712,501,450
2021-12-31,0.9021956087824351,501,452
2022-03-31,0.912,500,456
2022-06-30,0.9257028112449799,498,461
2022-09-30,0.9257028112449799,498,461
2022-12-31,0.9397590361445783,498,468
2023-03-31,0.9417670682730924,498,469
2023-06-30,0.9463220675944334,503,476
2023-09-30,0.9502982107355865,503,478
2023-12-31,0.952286282306163,503,479
2024-03-31,0.9582504970178927,503,482
2024-06-30,0.9622266401590457,503,484
2024-09-30,0.9642147117296223,503,485
2024-12-31,0.9681908548707754,503,487
2025-03-31,0.9681908548707754,503,487
2025-06-30,0.9701789264413518,503,488
2025-09-30,0.9761431411530815,503,491
2025-12-31,0.9761431411530815,503,491
