quarter,spread,matched_treatments,treated_total,split
2018-03-31,0.0873536194394564,79,79,train
2018-06-30,0.10487263945687966,53,79,train
2018-09-30,-0.09889665809059417,54,81,train
2018-12-31,-0.10868112575144569,40,81,train
2019-03-31,0.06610040444050026,69,81,train
2019-06-30,0.06302281445708613,74,81,train
2019-09-30,-0.0567757845598499,73,81,train
2019-12-31,-0.075788390033928,48,82,train
2020-03-31,-0.17525401834432533,76,83,train
2020-06-30,-0.18433331520069593,69,83,train
2020-09-30,-0.06788852051612032,68,84,train
2020-12-31,-0.10391645829672576,60,85,train
2021-03-31,0.1298347088144302,65,85,train
2021-06-30,-0.038100894459300996,87,87,train
2021-09-30,0.01610611951681021,70,87,train
2021-12-31,-0.009421059109373952,87,87,train
2022-03-31,0.012958503328990359,61,89,validation
2022-06-30,0.050877132295707,79,89,validation
2022-09-30,-0.12456006140574243,74,89,validation
2022-12-31,-0.1157171072245556,74,90,validation
2023-03-31,0.025615058145382754,71,90,validation
2023-06-30,-0.12516171309028734,61,92,validation
2023-09-30,0.15850800608075138,77,92,validation
2023-12-31,-0.02442707728384465,55,92,validation
2024-03-31,0.09581552617279193,57,92,oos
2024-06-30,0.04157876036745719,58,93,oos
2024-09-30,0.12454583308294503,82,94,oos
2024-12-31,-0.021103347901455825,58,94,oos
2025-03-31,-0.0022290783949522066,94,94,oos
2025-06-30,-0.06768366516675892,78,96,oos
