quarter,spread,matched_treatments,treated_total,split
2018-03-31,0.007036938828817967,78,78,train
2018-06-30,-0.0681133608541176,80,80,train
2018-09-30,-0.058847432165436475,80,80,train
2018-12-31,-0.028876752094861725,80,80,train
2019-03-31,0.04024282426344285,80,80,train
2019-06-30,0.08703043853119966,81,81,train
2019-09-30,0.060537059730892524,82,82,train
2019-12-31,0.14470508239545712,82,82,train
2020-03-31,-0.2835990583038028,84,84,train
2020-06-30,-0.12224764203341085,84,84,train
2020-09-30,-0.10682957619362374,82,82,train
2020-12-31,0.06616582550666744,84,84,train
2021-03-31,-0.011032579877832826,86,86,train
2021-06-30,-0.09453620010827207,88,88,train
2021-09-30,0.006863126910054604,88,88,train
2021-12-31,-0.006555998995717546,88,88,train
2022-03-31,0.0010849585026887184,88,88,validation
2022-06-30,-0.14166229350801668,89,89,validation
2022-09-30,-0.06598636053862061,89,89,validation
2022-12-31,-0.16232037036873956,90,90,validation
2023-03-31,0.06748414167916686,90,90,validation
2023-06-30,0.13073046814743702,91,91,validation
2023-09-30,0.11307566073667581,92,92,validation
2023-12-31,0.1382645261763556,92,92,validation
2024-03-31,0.03352701293160673,93,93,oos
2024-06-30,0.12756281646855092,94,94,oos
2024-09-30,0.1628369810745533,94,94,oos
2024-12-31,0.10706917000559583,94,94,oos
2025-03-31,-0.01704636087727153,94,94,oos
2025-06-30,0.017677545656552242,96,96,oos
