symbol,status,points
A,OK,578
AAP,OK,552
AAL,OK,574
AAPL,OK,339
ABNB,OK,443
ABT,OK,519
ABBV,OK,567
ADP,OK,559
ACGL,OK,567
ACN,OK,561
ADI,OK,566
ADM,OK,553
ABMD,OK,339
ADBE,OK,414
AET,OK,18
ADSK,OK,455
AEP,OK,607
AEE,OK,583
AFL,OK,540
AIG,OK,560
ADS,OK,194
AES,OK,547
AIV,OK,533
AIZ,OK,558
AKAM,OK,527
AJG,OK,407
ALB,OK,595
ALGN,OK,576
ALK,OK,581
ALL,OK,588
ALLE,OK,526
AMAT,OK,578
AMD,OK,598
AMG,OK,601
AME,OK,555
AMCR,OK,475
ANDV,OK,1
AMT,OK,600
AMZN,OK,580
AN,OK,621
ANET,OK,519
ALXN,OK,192
AMP,OK,543
AMGN,OK,565
AON,OK,566
AOS,OK,595
APA,OK,545
APC,OK,126
APTV,OK,510
ATO,OK,530
APH,OK,566
APO,OK,512
APD,OK,541
ARE,OK,497
ANSS,OK,514
AVGO,OK,690
AXP,OK,578
AXON,OK,583
AVB,OK,576
AVY,OK,540
AWK,OK,539
BALL,OK,334
AZO,OK,520
AYI,OK,535
BAC,OK,612
BBBY,OK,264
BAX,OK,570
BA,OK,599
ATVI,OK,252
BBT,OK,175
BBWI,OK,389
BCR,OK,9
BEN,OK,572
BDX,OK,563
BG,OK,511
BF-B,OK,1569
BBY,OK,538
BHF,OK,588
BIIB,OK,564
BKNG,OK,563
BIO,OK,1526
BKR,OK,312
BLDR,OK,565
BLK,OK,570
BSX,OK,563
BMY,OK,551
BRO,OK,552
BR,OK,566
BWA,OK,582
BRK-B,OK,1527
BK,OK,531
BX,OK,494
BXP,OK,550
CAG,OK,581
CAH,OK,541
BLL,OK,198
CARR,OK,389
C,OK,610
CCI,OK,552
CCL,OK,458
CBOE,OK,541
CBRE,OK,543
CA,OK,10
CAT,OK,483
CB,OK,571
CE,OK,567
CDW,OK,557
CEG,OK,371
CDNS,OK,338
CBS,OK,216
CHD,OK,579
CHTR,OK,531
CFG,OK,566
CHRW,OK,566
CF,OK,562
CERN,OK,201
CELG,OK,144
CI,OK,503
CLX,OK,584
CDAY,OK,383
CMCSA,OK,606
CME,OK,594
CL,OK,570
CINF,OK,550
CMG,OK,461
COIN,OK,399
CMI,OK,565
CMS,OK,580
COF,OK,582
CNP,OK,558
CNC,OK,431
COP,OK,549
COO,OK,563
COR,OK,353
CMA,OK,604
COST,OK,574
COG,OK,179
COL,OK,120
COTY,OK,565
CPAY,OK,266
CPB,OK,530
CPT,OK,547
CPRI,OK,529
CRL,OK,538
CRM,OK,448
CRWD,OK,565
CSCO,OK,548
CPRT,OK,528
CSRA,OK,11
CSX,OK,558
CTAS,OK,610
CSGP,OK,582
CTSH,OK,589
CTVA,OK,279
CVS,OK,609
CZR,OK,553
CVX,OK,466
CTRA,OK,504
CTLT,OK,398
DASH,OK,442
CTXS,OK,199
DAL,OK,582
D,OK,594
DD,OK,509
CTL,OK,168
CXO,OK,173
DDOG,OK,486
DELL,OK,539
DECK,OK,570
DG,OK,559
DGX,OK,563
DE,OK,572
DAY,OK,134
DHR,OK,565
DHI,OK,514
DLR,OK,511
DIS,OK,554
DFS,OK,499
DLTR,OK,499
DOV,OK,561
DOC,OK,522
DISH,OK,321
DISCA,OK,768
DOW,OK,524
DRI,OK,549
DPZ,OK,362
DTE,OK,566
DISCK,OK,766
DUK,OK,555
DXCM,OK,517
EBAY,OK,404
