ticker,sector,wikipedia_title
AAPL,Technology,Apple_Inc.
MSFT,Technology,Microsoft
NVDA,Technology,Nvidia
AVGO,Technology,Broadcom_Inc.
AMD,Technology,Advanced_Micro_Devices
DELL,Technology,Dell
META,Communication,Meta_Platforms
GOOGL,Communication,Alphabet_Inc.
AMZN,Consumer,Amazon_(company)
MELI,Consumer,Mercado_Libre
V,Financials,Visa_Inc.
MA,Financials,Mastercard
ICE,Financials,Intercontinental_Exchange
SPGI,Financials,S%26P_Global
BRK-B,Financials,Berkshire_Hathaway
LLY,Healthcare,Eli_Lilly_and_Company
VRTX,Healthcare,Vertex_Pharmaceuticals
REGN,Healthcare,Regeneron_Pharmaceuticals
CAH,Healthcare,Cardinal_Health
DE,Industrials,John_Deere
ROP,Industrials,Roper_Technologies
HWM,Industrials,Howmet_Aerospace
EME,Industrials,EMCOR_Group
LMB,Industrials,Limbach_Holdings
CEG,Utilities,Constellation_Energy
VST,Utilities,Vistra_Corp.
MPC,Energy,Marathon_Petroleum
CNX,Energy,CNX_Resources
RGLD,Materials,Royal_Gold
GLW,Materials,Corning_Inc.
