from_report,to_report,issuer,cusip_from,cusip_to,shares_from,shares_to,share_change_pct,event_class,public_signal_date,confidence,notes
2018-03-31,2018-06-30,CAMECO CORP,13321L108,13321L108,4532124,5967410,31.6692,INCREASE,2018-07-23,HIGH,
2018-03-31,2018-06-30,HARMONY GOLD MNG LTD,413216300,413216300,10900425,12425728,13.9931,INCREASE,2018-07-23,HIGH,
2018-03-31,2018-06-30,NEW GOLD INC CDA,644535906,644535106,6254038,11689876,,UNRESOLVED_CORPORATE_ACTION,2018-07-23,LOW,CUSIP changed; do not infer +86.9% until reconciliation
2018-03-31,2018-06-30,NOVAGOLD RES INC,66987E206,66987E206,3271078,5754905,75.9330,INCREASE,2018-07-23,HIGH,
2018-03-31,2018-06-30,SIBANYE STILLWATER,825724206,825724206,31901904,42531190,33.3187,INCREASE,2018-07-23,HIGH,
2018-03-31,2018-06-30,VANECK VECTORS ETF TR,92189F791,92189F791,190368,117022,-38.5285,DECREASE,2018-07-23,HIGH,
2018-03-31,2018-06-30,VEON LTD,91822M106,91822M106,22499887,36267792,61.1910,INCREASE,2018-07-23,HIGH,
2018-06-30,2018-09-30,CAMECO CORP,13321L108,13321L108,5967410,5967410,0.0000,UNCHANGED,2018-10-05,HIGH,
2018-06-30,2018-09-30,HARMONY GOLD MNG LTD,413216300,413216300,12425728,13275728,6.8406,INCREASE,2018-10-05,HIGH,
2018-06-30,2018-09-30,NEW GOLD INC CDA,644535106,644535106,11689876,16717997,43.0126,INCREASE,2018-10-05,HIGH,
2018-06-30,2018-09-30,NOVAGOLD RES INC,66987E206,66987E206,5754905,5889905,2.3458,INCREASE,2018-10-05,HIGH,
2018-06-30,2018-09-30,SIBANYE STILLWATER,825724206,825724206,42531190,45970311,8.0861,INCREASE,2018-10-05,HIGH,
2018-06-30,2018-09-30,VANECK VECTORS ETF TR,92189F791,92189F791,117022,117022,0.0000,UNCHANGED,2018-10-05,HIGH,
2018-06-30,2018-09-30,VEON LTD,91822M106,91822M106,36267792,37657792,3.8326,INCREASE,2018-10-05,HIGH,
