report_date,publication_datetime,manager,issuer,cusip,title_class,shares,market_value_usd_thousands,visible_13f_weight,source_state,notes
2018-03-31,2018-04-16T15:40:46,Exor Investments (UK) LLP,CAMECO CORP,13321L108,COM,4532124,41197,0.141884,PRIMARY_SEC,
2018-03-31,2018-04-16T15:40:46,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,SPONSORED ADR,10900425,26052,0.089725,PRIMARY_SEC,
2018-03-31,2018-04-16T15:40:46,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535906,COM,6254038,16135,0.055569,PRIMARY_SEC,CUSIP changes in Q2; reconcile before longitudinal merge
2018-03-31,2018-04-16T15:40:46,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,COM NEW,3271078,14164,0.048782,PRIMARY_SEC,
2018-03-31,2018-04-16T15:40:46,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,SPONSORED ADR,31901904,127289,0.438389,PRIMARY_SEC,
2018-03-31,2018-04-16T15:40:46,Exor Investments (UK) LLP,VANECK VECTORS ETF TR,92189F791,JR GOLD MINERS E,190368,6120,0.021077,PRIMARY_SEC,
2018-03-31,2018-04-16T15:40:46,Exor Investments (UK) LLP,VEON LTD,91822M106,SPONSORED ADR,22499887,59400,0.204574,PRIMARY_SEC,
2018-06-30,2018-07-23T15:11:17,Exor Investments (UK) LLP,CAMECO CORP,13321L108,COM,5967410,67133,0.203735,PRIMARY_SEC,
2018-06-30,2018-07-23T15:11:17,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,SPONSORED ADR,12425728,19384,0.058827,PRIMARY_SEC,
2018-06-30,2018-07-23T15:11:17,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,COM,11689876,24315,0.073792,PRIMARY_SEC,CUSIP differs from Q1; identity/corporate-action reconciliation required
2018-06-30,2018-07-23T15:11:17,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,COM NEW,5754905,25609,0.077719,PRIMARY_SEC,
2018-06-30,2018-07-23T15:11:17,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,SPONSORED ADR,42531190,102925,0.312357,PRIMARY_SEC,
2018-06-30,2018-07-23T15:11:17,Exor Investments (UK) LLP,VANECK VECTORS ETF TR,92189F791,JR GOLD MINERS E,117022,3827,0.011614,PRIMARY_SEC,
2018-06-30,2018-07-23T15:11:17,Exor Investments (UK) LLP,VEON LTD,91822M106,SPONSORED ADR,36267792,86317,0.261956,PRIMARY_SEC,
2018-09-30,2018-10-05T08:03:56,Exor Investments (UK) LLP,CAMECO CORP,13321L108,COM,5967410,68028,0.193229,PRIMARY_SEC,
2018-09-30,2018-10-05T08:03:56,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,SPONSORED ADR,13275728,22038,0.062597,PRIMARY_SEC,
2018-09-30,2018-10-05T08:03:56,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,COM,16717997,13262,0.037670,PRIMARY_SEC,
2018-09-30,2018-10-05T08:03:56,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,COM NEW,5889905,21852,0.062069,PRIMARY_SEC,
2018-09-30,2018-10-05T08:03:56,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,SPONSORED ADR,45970311,114466,0.325132,PRIMARY_SEC,
2018-09-30,2018-10-05T08:03:56,Exor Investments (UK) LLP,VANECK VECTORS ETF TR,92189F791,JR GOLD MINERS E,117022,3202,0.009095,PRIMARY_SEC,
2018-09-30,2018-10-05T08:03:56,Exor Investments (UK) LLP,VEON LTD,91822M106,SPONSORED ADR,37657792,109208,0.310208,PRIMARY_SEC,
