report_date,publication_date,manager_name,issuer,cusip,value_usd_thousands,shares,verification_state,notes
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,CAMECO CORP,13321L108,67730,5967410,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,23764,13275728,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,14407,19036695,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,23265,5889905,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,130605,46150343,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,VANECK VECTORS ETF TR JR GOLD MINERS E,92189F791,3536,117022,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,VEON LTD,91822M106,88119,37657792,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,CAMECO CORP,13321L108,90980,9576838,PRIMARY_SEC,Gap: 2019Q1/Q2 not yet normalized in this file
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,35584,12529668,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,27202,26932277,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,33996,5600814,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,229080,42422168,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,VEON LTD,91822M106,92964,38734940,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,CAMECO CORP,13321L108,65808,8613678,PRIMARY_SEC,Gap: 2019Q4 not yet normalized in this file
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,25771,11821561,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,15766,30877813,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,46825,6344807,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,58628,12421203,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,VEON LTD,91822M106,56568,37462303,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,RANGE RES CORP,75281A109,9560,4192805,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,SCHLUMBERGER LTD,806857108,61288,4444656,PRIMARY_SEC,
