report_date,publication_date,manager_name,issuer,cusip,value_usd_thousands,shares,verification_state,notes
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,CAMECO CORP,13321L108,67730,5967410,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,23764,13275728,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,14407,19036695,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,23265,5889905,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,130605,46150343,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,VANECK VECTORS ETF TR JR GOLD MINERS E,92189F791,3536,117022,PRIMARY_SEC,
2018-12-31,2019-02-05 10:20:20,Exor Investments (UK) LLP,VEON LTD,91822M106,88119,37657792,PRIMARY_SEC,
2019-03-31,2019-05-09 13:38:52,Exor Investments (UK) LLP,CAMECO CORP,13321L108,70356,5967410,PRIMARY_SEC,
2019-03-31,2019-05-09 13:38:52,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,25224,13275728,PRIMARY_SEC,
2019-03-31,2019-05-09 13:38:52,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,18785,21817665,PRIMARY_SEC,
2019-03-31,2019-05-09 13:38:52,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,24561,5889905,PRIMARY_SEC,
2019-03-31,2019-05-09 13:38:52,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,188130,45551943,PRIMARY_SEC,
2019-03-31,2019-05-09 13:38:52,Exor Investments (UK) LLP,VANECK VECTORS ETF TR JR GOLD MINERS E,92189F791,3713,117022,PRIMARY_SEC,
2019-03-31,2019-05-09 13:38:52,Exor Investments (UK) LLP,VEON LTD,91822M106,89983,43054134,PRIMARY_SEC,
2019-06-30,2019-07-08 09:15:46,Exor Investments (UK) LLP,CAMECO CORP,13321L108,68484,6382515,PRIMARY_SEC,
2019-06-30,2019-07-08 09:15:46,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,33511,14762756,PRIMARY_SEC,
2019-06-30,2019-07-08 09:15:46,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,26558,27626907,PRIMARY_SEC,
2019-06-30,2019-07-08 09:15:46,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,38852,6573905,PRIMARY_SEC,
2019-06-30,2019-07-08 09:15:46,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,217516,45792943,PRIMARY_SEC,
2019-06-30,2019-07-08 09:15:46,Exor Investments (UK) LLP,VANECK VECTORS ETF TR JR GOLD MINERS E,92189F791,4091,117022,PRIMARY_SEC,
2019-06-30,2019-07-08 09:15:46,Exor Investments (UK) LLP,VEON LTD,91822M106,107330,38332140,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,CAMECO CORP,13321L108,90980,9576838,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,35584,12529668,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,27202,26932277,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,33996,5600814,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,229080,42422168,PRIMARY_SEC,
2019-09-30,2019-10-24 07:11:02,Exor Investments (UK) LLP,VEON LTD,91822M106,92964,38734940,PRIMARY_SEC,
