prev_q,curr_q,security,prev_shares,curr_shares,delta_shares,event
2018Q4,2019Q1,CAMECO,5967410,5967410,0,UNCHANGED
2018Q4,2019Q1,HARMONY,13275728,13275728,0,UNCHANGED
2018Q4,2019Q1,NEWGOLD,19036695,21817665,2780970,INCREASE
2018Q4,2019Q1,NOVAGOLD,5889905,5889905,0,UNCHANGED
2018Q4,2019Q1,SIBANYE,46150343,45551943,-598400,DECREASE
2018Q4,2019Q1,VANECK,117022,117022,0,UNCHANGED
2018Q4,2019Q1,VEON,37657792,43054134,5396342,INCREASE
2019Q1,2019Q2,CAMECO,5967410,6382515,415105,INCREASE
2019Q1,2019Q2,HARMONY,13275728,14762756,1487028,INCREASE
2019Q1,2019Q2,NEWGOLD,21817665,27626907,5809242,INCREASE
2019Q1,2019Q2,NOVAGOLD,5889905,6573905,684000,INCREASE
2019Q1,2019Q2,SIBANYE,45551943,45792943,241000,INCREASE
2019Q1,2019Q2,VANECK,117022,117022,0,UNCHANGED
2019Q1,2019Q2,VEON,43054134,38332140,-4721994,DECREASE
2019Q2,2019Q3,CAMECO,6382515,9576838,3194323,INCREASE
2019Q2,2019Q3,HARMONY,14762756,12529668,-2233088,DECREASE
2019Q2,2019Q3,NEWGOLD,27626907,26932277,-694630,DECREASE
2019Q2,2019Q3,NOVAGOLD,6573905,5600814,-973091,DECREASE
2019Q2,2019Q3,SIBANYE,45792943,42422168,-3370775,DECREASE
2019Q2,2019Q3,VANECK,117022,0,-117022,EXIT
2019Q2,2019Q3,VEON,38332140,38734940,402800,INCREASE
2019Q3,2019Q4,CAMECO,9576838,10002961,426123,INCREASE
2019Q3,2019Q4,HARMONY,12529668,11821561,-708107,DECREASE
2019Q3,2019Q4,NEWGOLD,26932277,30981260,4048983,INCREASE
2019Q3,2019Q4,NOVAGOLD,5600814,6344807,743993,INCREASE
2019Q3,2019Q4,RRC,0,1822724,1822724,NEW
2019Q3,2019Q4,SIBANYE,42422168,27400896,-15021272,DECREASE
2019Q3,2019Q4,SLB,0,2511104,2511104,NEW
2019Q3,2019Q4,VEON,38734940,40405931,1670991,INCREASE
2019Q4,2020Q1,CAMECO,10002961,8613678,-1389283,DECREASE
2019Q4,2020Q1,HARMONY,11821561,11821561,0,UNCHANGED
2019Q4,2020Q1,NEWGOLD,30981260,30877813,-103447,DECREASE
2019Q4,2020Q1,NOVAGOLD,6344807,6344807,0,UNCHANGED
2019Q4,2020Q1,RRC,1822724,4192805,2370081,INCREASE
2019Q4,2020Q1,SIBANYE,27400896,12421203,-14979693,DECREASE
2019Q4,2020Q1,SLB,2511104,4444656,1933552,INCREASE
2019Q4,2020Q1,VEON,40405931,37462303,-2943628,DECREASE
2020Q1,2020Q2,CAMECO,8613678,10188363,1574685,INCREASE
2020Q1,2020Q2,HARMONY,11821561,11821561,0,UNCHANGED
2020Q1,2020Q2,NEWGOLD,30877813,19014025,-11863788,DECREASE
2020Q1,2020Q2,NOVAGOLD,6344807,6463807,119000,INCREASE
2020Q1,2020Q2,RRC,4192805,7115947,2923142,INCREASE
2020Q1,2020Q2,SIBANYE,12421203,12360532,-60671,DECREASE
2020Q1,2020Q2,SLB,4444656,6942076,2497420,INCREASE
2020Q1,2020Q2,VEON,37462303,53114362,15652059,INCREASE
2020Q2,2020Q3,CAMECO,10188363,10188363,0,UNCHANGED
2020Q2,2020Q3,HARMONY,11821561,10746561,-1075000,DECREASE
2020Q2,2020Q3,LBRT,0,1202714,1202714,NEW
2020Q2,2020Q3,NEWGOLD,19014025,10088931,-8925094,DECREASE
2020Q2,2020Q3,NOVAGOLD,6463807,6463807,0,UNCHANGED
2020Q2,2020Q3,RRC,7115947,7115947,0,UNCHANGED
2020Q2,2020Q3,SIBANYE,12360532,11965532,-395000,DECREASE
2020Q2,2020Q3,SLB,6942076,7059076,117000,INCREASE
2020Q2,2020Q3,VEON,53114362,53114362,0,UNCHANGED
2020Q3,2020Q4,CAMECO,10188363,10188363,0,UNCHANGED
2020Q3,2020Q4,GATOS,0,1905420,1905420,NEW
2020Q3,2020Q4,HARMONY,10746561,11708722,962161,INCREASE
2020Q3,2020Q4,LBRT,1202714,4118054,2915340,INCREASE
2020Q3,2020Q4,NEWGOLD,10088931,6141202,-3947729,DECREASE
2020Q3,2020Q4,NOVAGOLD,6463807,6463807,0,UNCHANGED
2020Q3,2020Q4,RRC,7115947,8014920,898973,INCREASE
2020Q3,2020Q4,SIBANYE,11965532,9627093,-2338439,DECREASE
2020Q3,2020Q4,SLB,7059076,7750476,691400,INCREASE
2020Q3,2020Q4,VANECK,0,291000,291000,NEW
2020Q3,2020Q4,VEON,53114362,66354260,13239898,INCREASE
