prev_q,curr_q,security_key,prev_shares,curr_shares,delta_shares,event,instrument_type
2020Q4,2021Q1,CAMECO,10188363,11120451,932088,INCREASE,LONG
2020Q4,2021Q1,GATOS,1905420,1902120,-3300,DECREASE,LONG
2020Q4,2021Q1,HARMONY,11708722,17620729,5912007,INCREASE,LONG
2020Q4,2021Q1,LBRT,4118054,4660654,542600,INCREASE,LONG
2020Q4,2021Q1,NEWGOLD,6141202,0,-6141202,EXIT,LONG
2020Q4,2021Q1,NOVAGOLD,6463807,8353350,1889543,INCREASE,LONG
2020Q4,2021Q1,RRC,8014920,8014920,0,UNCHANGED,LONG
2020Q4,2021Q1,SIBANYE,9627093,0,-9627093,EXIT,LONG
2020Q4,2021Q1,SLB,7750476,6709476,-1041000,DECREASE,LONG
2020Q4,2021Q1,VANECK_JR_GOLD,291000,1527000,1236000,INCREASE,LONG
2020Q4,2021Q1,VEON,66354260,74053196,7698936,INCREASE,LONG
2021Q1,2021Q2,CAMECO,11120451,11693451,573000,INCREASE,LONG
2021Q1,2021Q2,DM,0,317677,317677,NEW,LONG
2021Q1,2021Q2,GATOS,1902120,2092120,190000,INCREASE,LONG
2021Q1,2021Q2,HARMONY,17620729,20156016,2535287,INCREASE,LONG
2021Q1,2021Q2,LBRT,4660654,4982862,322208,INCREASE,LONG
2021Q1,2021Q2,NOVAGOLD,8353350,9380100,1026750,INCREASE,LONG
2021Q1,2021Q2,RRC,8014920,8544920,530000,INCREASE,LONG
2021Q1,2021Q2,SKIL,0,310032,310032,NEW,LONG
2021Q1,2021Q2,SLB,6709476,5805476,-904000,DECREASE,LONG
2021Q1,2021Q2,VAL,0,511898,511898,NEW,LONG
2021Q1,2021Q2,VANECK_JR_GOLD,1527000,1819000,292000,INCREASE,LONG
2021Q1,2021Q2,VEON,74053196,78347333,4294137,INCREASE,LONG
2021Q1,2021Q2,WFRD,0,5118632,5118632,NEW,LONG
2021Q2,2021Q3,CAMECO,11693451,9907663,-1785788,DECREASE,LONG
2021Q2,2021Q3,DM,317677,778177,460500,INCREASE,LONG
2021Q2,2021Q3,GATOS,2092120,2352120,260000,INCREASE,LONG
2021Q2,2021Q3,HARMONY,20156016,25164903,5008887,INCREASE,LONG
2021Q2,2021Q3,LBRT,4982862,4982862,0,UNCHANGED,LONG
2021Q2,2021Q3,NOVAGOLD,9380100,11349506,1969406,INCREASE,LONG
2021Q2,2021Q3,QQQJ_PUT,0,1502700,1502700,NEW,PUT
2021Q2,2021Q3,RRC,8544920,8544920,0,UNCHANGED,LONG
2021Q2,2021Q3,SKIL,310032,1155361,845329,INCREASE,LONG
2021Q2,2021Q3,SLB,5805476,5805476,0,UNCHANGED,LONG
2021Q2,2021Q3,VAL,511898,696665,184767,INCREASE,LONG
2021Q2,2021Q3,VANECK_JR_GOLD,1819000,2015213,196213,INCREASE,LONG
2021Q2,2021Q3,VEON,78347333,78347333,0,UNCHANGED,LONG
2021Q2,2021Q3,WFRD,5118632,5524806,406174,INCREASE,LONG
2021Q3,2021Q4,CAMECO,9907663,9714663,-193000,DECREASE,LONG
