quarter,report_date,publication_date,manager_regime,security_key,shares,instrument_type,verification_state
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,CAMECO,10188363,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,GATOS,1905420,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,HARMONY,11708722,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,LBRT,4118054,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,NEWGOLD,6141202,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,NOVAGOLD,6463807,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,RRC,8014920,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,SIBANYE,9627093,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,SLB,7750476,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,VANECK_JR_GOLD,291000,LONG,PRIMARY_SEC
2020Q4,2020-12-31,2021-01-20 12:23:54,EXOR_INVESTMENTS_UK,VEON,66354260,LONG,PRIMARY_SEC
2021Q1,2021-03-31,2021-04-29 09:07:25,EXOR_CAPITAL,CAMECO,11120451,LONG,PRIMARY_SEC
2021Q1,2021-03-31,2021-04-29 09:07:25,EXOR_CAPITAL,GATOS,1902120,LONG,PRIMARY_SEC
2021Q1,2021-03-31,2021-04-29 09:07:25,EXOR_CAPITAL,HARMONY,17620729,LONG,PRIMARY_SEC
2021Q1,2021-03-31,2021-04-29 09:07:25,EXOR_CAPITAL,LBRT,4660654,LONG,PRIMARY_SEC
2021Q1,2021-03-31,2021-04-29 09:07:25,EXOR_CAPITAL,NOVAGOLD,8353350,LONG,PRIMARY_SEC
2021Q1,2021-03-31,2021-04-29 09:07:25,EXOR_CAPITAL,RRC,8014920,LONG,PRIMARY_SEC
2021Q1,2021-03-31,2021-04-29 09:07:25,EXOR_CAPITAL,SLB,6709476,LONG,PRIMARY_SEC
