cohort,security,2023Q1_shares,2023Q2_shares,delta_shares,event,strategy_origin_state
INHERITED_CORE,ARK FINTECH INNOVATION ETF,191948,191948,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,CAMECO,4631346,1688677,-2942669,DECREASE,UNRESOLVED
INHERITED_CORE,CARLYLE,232000,222000,-10000,DECREASE,UNRESOLVED
INHERITED_CORE,CARVANA,5184485,5184485,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,DESKTOP METAL,1228177,1228177,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,FATHOM DIGITAL MANUFACTURING,1000000,1000000,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,GATOS SILVER,3449447,3449447,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,HARMONY GOLD,29744388,24792004,-4952384,DECREASE,UNRESOLVED
INHERITED_CORE,KRANESHARES CSI CHINA INTERNET,145000,159000,14000,INCREASE,UNRESOLVED
INHERITED_CORE,NEXGEN ENERGY,760000,2958763,2198763,INCREASE,UNRESOLVED
INHERITED_CORE,NOVAGOLD,15702926,15702926,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,PARAMOUNT GLOBAL,686000,686000,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,RANGE RESOURCES,6963163,6963163,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,SCHLUMBERGER,2663438,2774438,111000,INCREASE,UNRESOLVED
INHERITED_CORE,SKILLSOFT,1155361,1155361,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,TEVA,17091910,24213261,7121351,INCREASE,UNRESOLVED
INHERITED_CORE,VALARIS,1849838,2005575,155737,INCREASE,UNRESOLVED
INHERITED_CORE,VANECK JUNIOR GOLD MINERS,3136213,3136213,0,UNCHANGED,UNRESOLVED
INHERITED_CORE,VEON,5385340,5305774,-79566,DECREASE,UNRESOLVED
INHERITED_CORE,WEATHERFORD,2292090,1757643,-534447,DECREASE,UNRESOLVED
POST_LAUNCH_NEW,ENPHASE ENERGY,0,39918,39918,NEW,UNRESOLVED
POST_LAUNCH_NEW,GINKGO BIOWORKS,0,6311301,6311301,NEW,UNRESOLVED
POST_LAUNCH_NEW,INTUITIVE SURGICAL,0,32857,32857,NEW,UNRESOLVED
POST_LAUNCH_NEW,JOBY AVIATION,0,908980,908980,NEW,UNRESOLVED
POST_LAUNCH_NEW,MERCADOLIBRE,0,10614,10614,NEW,UNRESOLVED
POST_LAUNCH_NEW,MICROSOFT,0,48526,48526,NEW,UNRESOLVED
POST_LAUNCH_NEW,MODERNA,0,133095,133095,NEW,UNRESOLVED
POST_LAUNCH_NEW,NVIDIA,0,50366,50366,NEW,UNRESOLVED
POST_LAUNCH_NEW,RECURSION PHARMACEUTICALS,0,775077,775077,NEW,UNRESOLVED
POST_LAUNCH_NEW,SEA LTD,0,96985,96985,NEW,UNRESOLVED
POST_LAUNCH_NEW,SERVICENOW,0,30104,30104,NEW,UNRESOLVED
POST_LAUNCH_NEW,TESLA,0,40461,40461,NEW,UNRESOLVED
POST_LAUNCH_NEW,UBS,0,217000,217000,NEW,UNRESOLVED
