issuer,cusip,instrument,q1_shares,q1_adj_shares,q1_value,q1_visible_weight_pct,q2_shares,q2_value,q2_visible_weight_pct,share_delta_pct,event,notes
API GROUP CORP,00187Y100,COMMON,307200,307200,12447744,0.245801,0,0,0.0,,VISIBLE_EXIT,
ALIBABA GROUP HLDG LTD,01609W102,COMMON,17100,17100,2145366,0.042364,0,0,0.0,,VISIBLE_EXIT,
AMAZON COM INC,023135106,COMMON,42410,42410,8832731,0.174417,0,0,0.0,,VISIBLE_EXIT,
AURORA INNOVATION INC,051774107,COMMON,9722567,9722567,40056976,0.79099,9722567,66307907,1.421236,0.0,UNCHANGED_SHARES,
BLUE OWL CAPITAL INC,09581B103,COMMON,239234,239234,2184206,0.043131,0,0,0.0,,VISIBLE_EXIT,
CARVANA CO,146869102,COMMON,2548077,12740385,801064447,15.818319,9283819,611060967,13.097409,-27.130781,VISIBLE_POSITION_DECREASE,CVNA 5-for-1 split effective 2026-05-08; Q1 shares adjusted x5 before delta
CLOUDFLARE INC,18915M107,COMMON,300023,300023,61906746,1.222449,300023,73589641,1.577312,0.0,UNCHANGED_SHARES,
DUOLINGO INC,26603R106,COMMON,40045,40045,3947236,0.077945,40045,4605976,0.098724,0.0,UNCHANGED_SHARES,
ENVIRI CORP,29390K102,COMMON,0,0,0,0.0,212657,4667821,0.10005,,NEW_VISIBLE_POSITION,
FERVO ENERGY CO,31556C106,COMMON,0,0,0,0.0,502584,14690530,0.314875,,NEW_VISIBLE_POSITION,
FIRST MAJESTIC SILVER CORP,32076V103,COMMON,10016055,10016055,215144861,4.248385,5334603,90474867,1.939228,-46.73948,VISIBLE_POSITION_DECREASE,
HARMONY GOLD MNG LTD,413216300,COMMON,161787,161787,2486666,0.049103,161787,2460780,0.052744,0.0,UNCHANGED_SHARES,
INTUITIVE SURGICAL INC,46120E602,COMMON,131522,131522,60630327,1.197244,49717,19771457,0.423779,-62.19872,VISIBLE_POSITION_DECREASE,
KKR & CO INC,48251W104,COMMON,26624,26624,2462720,0.04863,0,0,0.0,,VISIBLE_EXIT,
MERCADOLIBRE INC,58733R102,COMMON,24040,24040,41565641,0.820781,24040,40805256,0.874615,0.0,UNCHANGED_SHARES,
MICROSOFT CORP,594918104,COMMON,12517,12517,4633418,0.091494,0,0,0.0,,VISIBLE_EXIT,
MODERNA INC,60770K107,COMMON,763907,763907,38806476,0.766297,763907,53496407,1.146636,0.0,UNCHANGED_SHARES,
MOLINA HEALTHCARE INC,60855R100,COMMON,0,0,0,0.0,2511490,574377763,12.311146,,NEW_VISIBLE_POSITION,
NOVAGOLD RESOURCES INC,66987E206,COMMON,36842013,36842013,330841277,6.532998,31531500,188243055,4.03478,-14.414286,VISIBLE_POSITION_DECREASE,NovaGold multiple CUSIPs/classes in Q2; corporate-action/class reconciliation required before economic aggregation
NOVAGOLD RESOURCES INC,66987E305,NEW_CLASS,0,0,0,0.0,1900000,11343000,0.243125,,NEW_VISIBLE_POSITION,NovaGold multiple CUSIPs/classes in Q2; corporate-action/class reconciliation required before economic aggregation
NVIDIA CORPORATION,67066G104,COMMON,614357,614357,107143861,2.11573,667710,133602094,2.863612,8.684364,VISIBLE_POSITION_INCREASE,
PARAMOUNT SKYDANCE CORP,69932A204,COMMON,46061363,46061363,417128553,8.236881,46061363,455792071,9.769394,0.0,UNCHANGED_SHARES,
PONY AI INC,732908108,COMMON,3324068,3324068,31379202,0.619633,1817066,12628609,0.27068,-45.336076,VISIBLE_POSITION_DECREASE,
RANGE RES CORP,75281A109,COMMON,7193719,7193719,325012224,6.417894,11045066,410766005,8.80431,53.537635,VISIBLE_POSITION_INCREASE,
RECURSION PHARMACEUTICALS IN,75629V104,COMMON,5881738,5881738,18056936,0.356564,2206661,8098446,0.173581,-62.482841,VISIBLE_POSITION_DECREASE,
ROCKET COS INC,77311W101,COMMON,178219,178219,2539621,0.050149,0,0,0.0,,VISIBLE_EXIT,
SLB LIMITED,806857108,CALL,410000,410000,21069900,0.416059,410000,19060900,0.408549,0.0,UNCHANGED_SHARES,
SLB LIMITED,806857108,COMMON,5406567,5406567,279070136,5.510693,4391097,205737037,4.409744,-18.782159,VISIBLE_POSITION_DECREASE,
SERVICENOW INC,81762P102,COMMON,389886,389886,40762581,0.804923,0,0,0.0,,VISIBLE_EXIT,
SIBANYE STILLWATER LTD,82575P107,COMMON,19575936,19575936,246216756,4.86195,19075936,161954697,3.471318,-2.554156,VISIBLE_POSITION_DECREASE,
SUNSHINE SILVER MNG & REFNG,867866105,COMMON,0,0,0,0.0,2000000,26440000,0.566712,,NEW_VISIBLE_POSITION,
TAIWAN SEMICONDUCTOR MANUFAC,874039100,COMMON,277227,277227,93688865,1.850039,308743,147446395,3.160349,11.368301,VISIBLE_POSITION_INCREASE,
TEMPUS AI INC,88023B103,COMMON,1415766,1415766,64020939,1.264197,1415766,82015324,1.757907,0.0,UNCHANGED_SHARES,
TESLA INC,88160R101,COMMON,70039,70039,26036998,0.514143,70039,29458403,0.631408,0.0,UNCHANGED_SHARES,
TEVA PHARMACEUTICAL INDS LTD,881624209,COMMON,27770857,27770857,836458213,16.517226,20205943,684577349,14.673151,-27.240477,VISIBLE_POSITION_DECREASE,
VEON LTD,91822M502,COMMON,6042061,6042061,279747424,5.524067,5265123,274892072,5.892004,-12.858824,VISIBLE_POSITION_DECREASE,
VANECK ETF TRUST,92189F791,COMMON,1990572,1990572,238948263,4.718422,0,0,0.0,,VISIBLE_EXIT,
KLARNA GROUP PLC,G5279N105,COMMON,0,0,0,0.0,188675,3818782,0.081851,,NEW_VISIBLE_POSITION,
JOBY AVIATION INC,G65163100,COMMON,3743218,3743218,30918981,0.610545,2405253,21454857,0.459861,-35.74371,VISIBLE_POSITION_DECREASE,
VALARIS LTD,G9460G101,COMMON,3706866,3706866,363421143,7.176341,2411493,175074392,3.752524,-34.945234,VISIBLE_POSITION_DECREASE,
NEBIUS GROUP N.V.,N97284108,COMMON,128945,128945,13379333,0.264197,205661,56797398,1.217389,59.495134,VISIBLE_POSITION_INCREASE,
