strategy,security,ticker,attribution_tier,public_attribution_date,execution_date,start_close,end_date,end_close,raw_return_pct,benchmark,benchmark_start,benchmark_end,benchmark_return_pct,excess_vs_benchmark_pp,status
INTERSECTION,Carvana,CVNA,A_EXPLICIT_AT_OR_NEAR_EVENT,2024-04-12,2024-04-15,13.97,2026-09-04,74.59,433.93,SPY,504.45,770.19,52.68,381.25,VALID_PILOT
INTERSECTION,Rolls-Royce,RR.L,A_EXPLICIT_AT_OR_NEAR_EVENT,2024-04-12,2024-04-15,406.80,2026-09-04,1489.40,266.13,FTSE100,7965.53,10831.09,35.97,230.15,VALID_PILOT
INTERSECTION,Ocado,OCDO.L,A_EXPLICIT_AT_OR_NEAR_EVENT,2024-04-12,2024-04-15,364.00,2026-09-04,216.40,-40.55,FTSE100,7965.53,10831.09,35.97,-76.52,VALID_PILOT
INNOVATION,NVIDIA,NVDA,B_EXPLICIT_LATER,2025-05-23,2025-05-27,135.50,2026-09-04,230.35,70.00,QQQ,521.22,718.96,37.94,32.06,DESCRIPTIVE_FROM_ATTRIBUTION_DATE
INNOVATION,TSMC,TSM,B_EXPLICIT_LATER,2025-05-23,2025-05-27,197.68,2026-09-04,428.91,116.97,QQQ,521.22,718.96,37.94,79.03,DESCRIPTIVE_FROM_ATTRIBUTION_DATE
INNOVATION,ASML,ASML,B_EXPLICIT_LATER,2025-05-23,2025-05-27,756.79,2026-09-04,1714.88,126.60,QQQ,521.22,718.96,37.94,88.66,DESCRIPTIVE_FROM_ATTRIBUTION_DATE
INNOVATION,ServiceNow,NOW,B_EXPLICIT_LATER,2025-05-23,2025-05-27,205.478,2026-09-04,141.26,-31.25,QQQ,521.22,718.96,37.94,-69.19,DESCRIPTIVE_FROM_ATTRIBUTION_DATE
INNOVATION,Aurora Innovation,AUR,B_EXPLICIT_LATER,2025-05-23,2025-05-27,6.15,2026-09-04,6.34,3.09,QQQ,521.22,718.96,37.94,-34.85,DESCRIPTIVE_FROM_ATTRIBUTION_DATE
INNOVATION,Pony.ai,PONY,B_EXPLICIT_LATER,2025-05-23,2025-05-27,21.35,2026-09-04,7.35,-65.57,QQQ,521.22,718.96,37.94,-103.51,DESCRIPTIVE_FROM_ATTRIBUTION_DATE
INNOVATION,Recursion Pharmaceuticals,RXRX,B_EXPLICIT_LATER,2025-05-23,2025-05-27,4.39,2026-09-04,3.63,-17.31,QQQ,521.22,718.96,37.94,-55.25,DESCRIPTIVE_FROM_ATTRIBUTION_DATE
INNOVATION,Tempus AI,TEM,B_EXPLICIT_LATER,2025-05-23,2025-05-27,65.87,2026-09-04,64.62,-1.90,QQQ,521.22,718.96,37.94,-39.84,DESCRIPTIVE_FROM_ATTRIBUTION_DATE
