quarter,report_date,accession,error
2013Q4,2013-12-31,000114036114005043,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036114005043/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036114005043/index.json
2014Q1,2014-03-31,000114036114021635,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036114021635/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036114021635/index.json
2014Q2,2014-06-30,000114036114032462,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036114032462/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036114032462/index.json
2014Q3,2014-09-30,000114036114041967,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036114041967/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036114041967/index.json
2014Q4,2014-12-31,000114036115007072,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036115007072/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036115007072/index.json
2015Q1,2015-03-31,000114036115020213,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036115020213/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036115020213/index.json
2015Q2,2015-06-30,000114036115031988,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036115031988/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036115031988/index.json
2015Q3,2015-09-30,000114036115041022,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036115041022/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036115041022/index.json
2015Q4,2015-12-31,000114036116052936,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036116052936/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036116052936/index.json
2016Q1,2016-03-31,000114036116065620,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036116065620/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036116065620/index.json
2016Q2,2016-06-30,000114036116076389,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036116076389/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036116076389/index.json
2016Q3,2016-09-30,000114036117006508,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036117006508/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036117006508/index.json
2016Q4,2016-12-31,000114036117006506,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036117006506/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036117006506/index.json
2017Q1,2017-03-31,000114036117020327,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036117020327/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036117020327/index.json
2017Q2,2017-06-30,000114036117042829,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036117042829/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036117042829/index.json
2017Q3,2017-09-30,000114036117042824,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036117042824/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036117042824/index.json
2017Q4,2017-12-31,000114036118008278,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036118008278/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036118008278/index.json
2018Q1,2018-03-31,000114036118024020,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000114036118024020/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000114036118024020/index.json
2018Q2,2018-06-30,000156761918001003,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761918001003/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761918001003/index.json
2018Q3,2018-09-30,000156761918006360,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761918006360/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761918006360/index.json
2018Q4,2018-12-31,000156761919004432,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761919004432/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761919004432/index.json
2019Q1,2019-03-31,000156761919011259,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761919011259/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761919011259/index.json
2019Q2,2019-06-30,000156761919017026,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761919017026/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761919017026/index.json
2019Q3,2019-09-30,000156761919021546,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761919021546/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761919021546/index.json
2019Q4,2019-12-31,000156761920004032,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761920004032/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761920004032/index.json
2020Q1,2020-03-31,000156761920010585,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761920010585/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761920010585/index.json
2020Q2,2020-06-30,000156761920015480,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761920015480/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761920015480/index.json
2020Q3,2020-09-30,000156761920019883,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761920019883/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761920019883/index.json
2020Q4,2020-12-31,000095012321002845,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000095012321002845/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000095012321002845/index.json
2021Q1,2021-03-31,000156761921010542,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761921010542/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761921010542/index.json
2021Q2,2021-06-30,000156761921015896,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761921015896/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761921015896/index.json
2021Q3,2021-09-30,000156761921020519,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761921020519/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761921020519/index.json
2021Q4,2021-12-31,000156761922004434,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761922004434/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761922004434/index.json
2022Q1,2022-03-31,000156761922010962,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761922010962/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761922010962/index.json
2022Q2,2022-06-30,000156761922016228,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761922016228/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761922016228/index.json
2022Q3,2022-09-30,000156761922020025,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000156761922020025/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000156761922020025/index.json
2022Q4,2022-12-31,000089914023000406,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914023000406/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914023000406/index.json
2023Q1,2023-03-31,000089914023000646,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914023000646/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914023000646/index.json
2023Q2,2023-06-30,000089914023000893,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914023000893/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914023000893/index.json
2023Q3,2023-09-30,000089914023001107,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914023001107/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914023001107/index.json
2023Q4,2023-12-31,000089914024000243,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914024000243/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914024000243/index.json
2024Q1,2024-03-31,000089914024000614,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914024000614/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914024000614/index.json
2024Q2,2024-06-30,000089914024000904,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914024000904/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914024000904/index.json
2024Q3,2024-09-30,000089914024001265,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914024001265/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914024001265/index.json
2024Q4,2024-12-31,000089914025000314,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914025000314/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914025000314/index.json
2025Q1,2025-03-31,000089914025000701,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914025000701/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914025000701/index.json
2025Q2,2025-06-30,000089914025000999,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914025000999/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914025000999/index.json
2025Q3,2025-09-30,000089914025001311,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914025001311/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914025001311/index.json
2025Q4,2025-12-31,000089914026000258,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914026000258/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914026000258/index.json
2026Q1,2026-03-31,000089914026000577,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914026000577/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914026000577/index.json
2026Q2,2026-06-30,000089914026000882,GET failed: https://www.sec.gov/Archives/edgar/data/1536006/000089914026000882/index.json: 403 Client Error: Forbidden for url: https://www.sec.gov/Archives/edgar/data/1536006/000089914026000882/index.json
