quarter,report_date,filing_date,filing_id,url
2013Q4,2013-12-31,2014-02-06,000114036114005043,https://13f.info/13f/000114036114005043-progeny-3-inc-q4-2013
2014Q1,2014-03-31,2014-05-15,000114036114021635,https://13f.info/13f/000114036114021635-progeny-3-inc-q1-2014
2014Q2,2014-06-30,2014-08-14,000114036114032462,https://13f.info/13f/000114036114032462-progeny-3-inc-q2-2014
2014Q3,2014-09-30,2014-11-14,000114036114041967,https://13f.info/13f/000114036114041967-progeny-3-inc-q3-2014
2014Q4,2014-12-31,2015-02-17,000114036115007072,https://13f.info/13f/000114036115007072-progeny-3-inc-q4-2014
2015Q1,2015-03-31,2015-05-15,000114036115020213,https://13f.info/13f/000114036115020213-progeny-3-inc-q1-2015
2015Q2,2015-06-30,2015-08-14,000114036115031988,https://13f.info/13f/000114036115031988-progeny-3-inc-q2-2015
2015Q3,2015-09-30,2015-11-13,000114036115041022,https://13f.info/13f/000114036115041022-progeny-3-inc-q3-2015-new-holdings
2015Q4,2015-12-31,2016-02-16,000114036116052936,https://13f.info/13f/000114036116052936-progeny-3-inc-q4-2015
2016Q1,2016-03-31,2016-05-16,000114036116065620,https://13f.info/13f/000114036116065620-progeny-3-inc-q1-2016
2016Q2,2016-06-30,2016-08-15,000114036116076389,https://13f.info/13f/000114036116076389-progeny-3-inc-q2-2016
2016Q3,2016-09-30,2017-02-14,000114036117006508,https://13f.info/13f/000114036117006508-progeny-3-inc-q3-2016-restatement
2016Q4,2016-12-31,2017-02-14,000114036117006506,https://13f.info/13f/000114036117006506-progeny-3-inc-q4-2016
2017Q1,2017-03-31,2017-05-15,000114036117020327,https://13f.info/13f/000114036117020327-progeny-3-inc-q1-2017
2017Q2,2017-06-30,2017-11-14,000114036117042829,https://13f.info/13f/000114036117042829-progeny-3-inc-q2-2017-restatement
2017Q3,2017-09-30,2017-11-14,000114036117042824,https://13f.info/13f/000114036117042824-progeny-3-inc-q3-2017
2017Q4,2017-12-31,2018-02-14,000114036118008278,https://13f.info/13f/000114036118008278-progeny-3-inc-q4-2017
2018Q1,2018-03-31,2018-05-15,000114036118024020,https://13f.info/13f/000114036118024020-progeny-3-inc-q1-2018
2018Q2,2018-06-30,2018-08-14,000156761918001003,https://13f.info/13f/000156761918001003-progeny-3-inc-q2-2018
